"Issue Type","Summary","Description","Initiative","Epic Name","Parent Summary","Runtime Scope","Risk (P0-P3)","Migration Phase (A-D)","ADR Ref","Blocking Dependencies","Rollback Strategy","Observability Requirement","Constraint Test Required","Security Review Required","Exit Criteria Ref","Architecture Constraint Ref","Audit Requirement","Replay Safety Required","Feature Freeze Exempt","Runbook Required","DRI","Secondary Owner","Approval Owner","Labels","Priority","Lifecycle State","Change Risk Score","Rollback Verified","Constraint Test ID"
"Initiative","Platform Transition Program","Plattformweite technische Transition mit Governance-Modell.","Platform Transition Program","","","","","","","","","","","","","","","","","","","platform","Highest","","","PROPOSED","LOW","false",""
"Epic","Security Baseline Hardening","Sichere Defaults und Schutz der Expositionsflächen.","Platform Transition Program","Security Baseline Hardening","","","","","","","","","EXIT-SECURITY","","","","","","","security","Highest","","","","","PROPOSED","LOW","false",""
"Epic","QA/CI Determinism","Deterministische Tests und belastbare Release-Gates.","Platform Transition Program","QA/CI Determinism","","","","","","","","","EXIT-QA","","","","","","","qa","Highest","","","","","PROPOSED","LOW","false",""
"Epic","ADR & Governance","Verbindliche Architektur- und Betriebsentscheidungen.","Platform Transition Program","ADR & Governance","","","","","","","","","EXIT-ADR","","","","","","","architecture","High","","","","","PROPOSED","LOW","false",""
"Epic","Runtime Split","Bot/API/Webhook/Worker/Scheduler getrennt betreiben.","Platform Transition Program","Runtime Split","","","","","","","","","EXIT-RUNTIME","","","","","","","runtime","High","","","","","PROPOSED","LOW","false",""
"Story","API Auth Enforcement","PUBLIC_API_TOKEN außerhalb development verpflichtend; Startup-Fail ohne Token.","Platform Transition Program","Security Baseline Hardening","Security Baseline Hardening","api","P0","","ADR-SEC-001","","Feature-Flag ALLOW_INSECURE_API temporär rücksetzbar","Auth failures, unauthorized attempts","Yes","Yes","EXIT-SECURITY","AC-API-AUTH","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","security,week1,critical-path","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ACAPIAUTH"
"Story","Session Hardening","Secure cookies, proxy trust, session secret rotation policy.","Platform Transition Program","Security Baseline Hardening","Security Baseline Hardening","api","P1","","ADR-SEC-002","","Env toggle nur für local dev","Session config metrics, auth error logs","Yes","Yes","EXIT-SECURITY","AC-SESSION-BOUNDARY","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","security,week1","Highest","PROPOSED","HIGH","false","ARCH-TEST-ACSESSIONBOUNDARY"
"Story","Test DB Isolation","DB pro Worker/Suite, single-init guard, lock-free test runtime.","Platform Transition Program","QA/CI Determinism","QA/CI Determinism","worker","P0","","ADR-QA-001","","Temporär serial mode runInBand","Test stability metrics, lock error counters","Yes","No","EXIT-QA","AC-NO-SHARED-DB","No","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","qa,week1,critical-path","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ACNOSHAREDDB"
"Story","Clock/UUID Abstractions","Deterministische Zeit/IDs für Event-/Projection-Tests.","Platform Transition Program","QA/CI Determinism","QA/CI Determinism","worker","P1","","ADR-QA-002","Test DB Isolation","Adapter fallback auf native providers","Flaky rate metrics, deterministic seed logs","Yes","No","EXIT-QA","AC-DETERMINISTIC-TESTS","No","Yes","Yes","No","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","qa,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACDETERMINISTICTESTS"
"Story","Release Gates","CI-Gates: tests, contract checks, migration checks, smoke runs.","Platform Transition Program","QA/CI Determinism","QA/CI Determinism","api","P1","","ADR-QA-003","Test DB Isolation; Clock/UUID Abstractions","Gate can be staged warn->enforce","Pipeline pass/fail KPIs","Yes","Yes","EXIT-QA","AC-CI-GATES","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","qa,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACCIGATES"
"Story","ADR-001 Persistence","PostgreSQL + SQL-first repository strategy finalisieren.","Platform Transition Program","ADR & Governance","ADR & Governance","api","P1","","ADR-001","","ADR rollback path dokumentiert","Decision audit trail","No","No","EXIT-ADR","AC-PERSISTENCE-DECISION","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","architecture,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACPERSISTENCEDECISION"
"Story","ADR-002 Runtime Split","Zielruntimes, ownership, deployment boundaries definieren.","Platform Transition Program","ADR & Governance","ADR & Governance","runtime","P1","","ADR-002","ADR-001 Persistence","ADR supersession strategy","Decision audit trail","No","No","EXIT-ADR","AC-RUNTIME-BOUNDARIES","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","architecture,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACRUNTIMEBOUNDARIES"
"Story","Separate Entrypoints","start:bot/start:api/start:webhook/start:worker/start:scheduler.","Platform Transition Program","Runtime Split","Runtime Split","runtime","P1","","ADR-002","ADR-002 Runtime Split","Monolith startup retained behind fallback script","Process start health logs","Yes","No","EXIT-RUNTIME","AC-RUNTIME-SEPARATION","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","runtime,week3,critical-path","High","PROPOSED","HIGH","false","ARCH-TEST-ACRUNTIMESEPARATION"
"Story","Health/Readiness","/healthz + readiness pro Runtime mit dependency checks.","Platform Transition Program","Runtime Split","Runtime Split","runtime","P1","","ADR-002","Separate Entrypoints","Health endpoints can run in passive mode","Service health metrics, dependency checks","Yes","No","EXIT-RUNTIME","AC-HEALTH-CHECKS","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","OPS-APPROVER-TBD","runtime,week3","High","PROPOSED","HIGH","false","ARCH-TEST-ACHEALTHCHECKS"
"Story","Constraint Test Baseline","Architecture constraint tests als CI-Baseline.","Platform Transition Program","ADR & Governance","ADR & Governance","api","P1","","ADR-003","ADR-001 Persistence; ADR-002 Runtime Split","Rule toggles per package until fully enforced","Constraint violations dashboard","Yes","Yes","EXIT-ADR","AC-ARCH-CONSTRAINTS","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","architecture,week3,governance","High","PROPOSED","HIGH","false","ARCH-TEST-ACARCHCONSTRAINTS"
"Task","Implement fail-fast env check","Ergänze assertEnvironment um PUBLIC_API_TOKEN Policy außerhalb development.","Platform Transition Program","Security Baseline Hardening","API Auth Enforcement","api","P0","","ADR-SEC-001","","Guard mit env override für local only","Auth policy logs","Yes","Yes","EXIT-SECURITY","AC-API-AUTH","No","No","Yes","No","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","security,task,week1","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ACAPIAUTH"
"Task","Enforce bearer auth in middleware","Auth disabled mode entfernen (außer explicit local opt-in).","Platform Transition Program","Security Baseline Hardening","API Auth Enforcement","api","P0","","ADR-SEC-001","Implement fail-fast env check","Temporary local-only bypass flag","401/403 counters","Yes","Yes","EXIT-SECURITY","AC-API-AUTH","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","security,task,week1","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ACAPIAUTH"
"Task","Set secure cookie policy","secure=true in prod, sameSite config reviewed, httpOnly locked.","Platform Transition Program","Security Baseline Hardening","Session Hardening","api","P1","","ADR-SEC-002","","Local dev profile fallback","Session auth telemetry","Yes","Yes","EXIT-SECURITY","AC-SESSION-BOUNDARY","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","SEC-APPROVER-TBD","security,task,week1","Highest","PROPOSED","HIGH","false","ARCH-TEST-ACSESSIONBOUNDARY"
"Task","Implement per-suite DB path","Test harness erstellt DB-Datei pro suite/worker.","Platform Transition Program","QA/CI Determinism","Test DB Isolation","worker","P0","","ADR-QA-001","","Fallback to serial mode","DB lock count metric","Yes","No","EXIT-QA","AC-NO-SHARED-DB","No","No","Yes","No","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","qa,task,week1","Highest","PROPOSED","CRITICAL","false","ARCH-TEST-ACNOSHAREDDB"
"Task","Add test clock provider","Clock abstraction in services/workers verwenden.","Platform Transition Program","QA/CI Determinism","Clock/UUID Abstractions","worker","P1","","ADR-QA-002","","Fallback to system clock","Flaky test trend","Yes","No","EXIT-QA","AC-DETERMINISTIC-TESTS","No","Yes","Yes","No","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","qa,task,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACDETERMINISTICTESTS"
"Task","Add UUID provider abstraction","Deterministische UUID source in tests einführen.","Platform Transition Program","QA/CI Determinism","Clock/UUID Abstractions","worker","P1","","ADR-QA-002","","Fallback to randomUUID in prod","UUID seed logs","Yes","No","EXIT-QA","AC-DETERMINISTIC-TESTS","No","Yes","Yes","No","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","qa,task,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACDETERMINISTICTESTS"
"Task","Create CI gate workflow","Contract+smoke+migration+test gates als required checks.","Platform Transition Program","QA/CI Determinism","Release Gates","api","P1","","ADR-QA-003","","Staged enforce mode","Pipeline SLO dashboard","Yes","Yes","EXIT-QA","AC-CI-GATES","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","QA-APPROVER-TBD","qa,task,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACCIGATES"
"Task","Draft ADR-001","Dokument mit Optionen, Trade-offs, Entscheidung, rollback.","Platform Transition Program","ADR & Governance","ADR-001 Persistence","api","P1","","ADR-001","","ADR update path","Decision audit stream","No","No","EXIT-ADR","AC-PERSISTENCE-DECISION","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","architecture,task,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACPERSISTENCEDECISION"
"Task","Draft ADR-002","Runtime boundaries, deployment model, ownership matrix.","Platform Transition Program","ADR & Governance","ADR-002 Runtime Split","runtime","P1","","ADR-002","","ADR update path","Decision audit stream","No","No","EXIT-ADR","AC-RUNTIME-BOUNDARIES","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","architecture,task,week2","High","PROPOSED","HIGH","false","ARCH-TEST-ACRUNTIMEBOUNDARIES"
"Task","Split process entrypoints","Entrypoints + scripts + config pro runtime.","Platform Transition Program","Runtime Split","Separate Entrypoints","runtime","P1","","ADR-002","","Legacy start script remains temporarily","Runtime startup metrics","Yes","No","EXIT-RUNTIME","AC-RUNTIME-SEPARATION","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","OPS-APPROVER-TBD","runtime,task,week3","High","PROPOSED","HIGH","false","ARCH-TEST-ACRUNTIMESEPARATION"
"Task","Add health/readiness endpoints","Dependency-aware probes pro runtime liefern.","Platform Transition Program","Runtime Split","Health/Readiness","runtime","P1","","ADR-002","Split process entrypoints","Passive checks mode","Health and readiness SLI","Yes","No","EXIT-RUNTIME","AC-HEALTH-CHECKS","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","OPS-APPROVER-TBD","runtime,task,week3","High","PROPOSED","HIGH","false","ARCH-TEST-ACHEALTHCHECKS"
"Task","Build architecture constraint test baseline","Static + boundary checks für zentrale Architekturregeln.","Platform Transition Program","ADR & Governance","Constraint Test Baseline","api","P1","","ADR-003","Draft ADR-001; Draft ADR-002","Rule exceptions with expiry","Constraint violation count","Yes","Yes","EXIT-ADR","AC-ARCH-CONSTRAINTS","Yes","No","Yes","Yes","DRI-TBD","SECONDARY-TBD","ARCH-APPROVER-TBD","governance,task,week3","High","PROPOSED","HIGH","false","ARCH-TEST-ACARCHCONSTRAINTS"
